Country,Total,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,VA,GE,RL,PS,CC,POP,TR,,,,
Uzbekistan,86.9,7.9,8.7,7.5,7.2,7.6,6.3,9,5.4,9.2,6.7,6,5.4,-1.9665,-0.9137,-1.22667,-0.53608,-1.26326,1.6,Warning,,,,
Zambia,86.6,5,5.7,6,8.3,8,7.4,8,7.6,6.7,9.3,7.4,7.2,-0.10604,-0.49252,-0.26756,0.43593,-0.30679,3,Warning,,,,
Lebanon,86.3,8.5,9.2,8.5,5.3,6.2,6,7.2,5.6,6.8,6.3,8.5,8.2,-0.40498,-0.39522,-0.77569,-1.69035,-0.92407,7.1,Warning,,,,
Equatorial Guinea,86.1,7.5,8.2,6.6,4.5,9.1,6.6,9.6,7.6,9.4,8.3,3.3,5.5,-1.96989,-1.54172,-1.34934,0.12036,-1.59372,4.3,Warning,,,,
Kyrgyz Republic,85.7,7.4,8,8.4,7.6,7,6.4,8.4,5.9,7.6,6.2,5.6,7.3,-0.53826,-0.6519,-1.10921,-0.91177,-1.16288,2,Warning,,,,
Swaziland,85.6,6,7,3.6,8.9,7.5,6.3,8.7,7.8,8.3,9,4.9,7.5,-1.26199,-0.44819,-0.45885,-0.43191,-0.41312,1.8,Warning,,,,
Djibouti,85.5,6.6,7.5,6.2,6.9,7.3,5.2,7.8,7.4,7,8.3,7.2,8.1,-1.47103,-0.96229,-0.77209,-0.10219,-0.54208,1.7,Warning,,,,
Solomon Islands,85.2,6.7,8,6.8,7.8,8.3,5.7,7.3,8,5.9,7.7,4.9,8.2,0.00152,-0.82383,-0.52555,0.30038,-0.40027,2.1,Warning,,,,
Tajikistan,85.2,7.4,8.3,6.7,8,6.2,5.9,9.1,6.3,8.2,7.4,5.3,6.4,-1.50413,-1.05845,-1.25262,-1.18237,-1.2844,2.3,Warning,,,,
Papua New Guinea,84.9,6.6,7.1,6.6,6.9,9.1,7.5,7.1,8.9,6.2,7.6,5,6.3,-0.00446,-0.66301,-0.94754,-0.52025,-0.96152,2.2,Warning,,,,
Libya,84.5,8.9,8,7.4,5,6.7,4.2,8.4,7.3,9,5.5,5.4,8.8,-0.9716,-1.47106,-1.33688,-1.84408,-1.48179,0,Warning,,,,
Georgia,84.2,7.9,9.4,8,6.4,6.3,5.2,8.6,5.4,6.4,5.2,7.5,7.9,0.13881,0.58521,-0.00596,-0.44137,0.46923,-1.3,Warning,,,,
Comoros,84,7.5,7.5,5.3,8.2,6.4,7.2,7.4,7.9,6.6,7.4,4.5,8.1,-0.46056,-1.58937,-0.9368,-0.25693,-0.73996,2.4,Warning,,,,
Colombia,83.8,6.8,7.7,7.5,3.8,8.1,7.3,7.3,6.1,7.3,6.5,8.3,7.1,-0.08128,0.07136,-0.40589,-1.29197,-0.40521,1,Warning,,,,
Laos,83.7,6.6,8.3,6.1,5.7,6.1,6.8,8.6,7.3,8.3,7.5,5.8,6.6,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Mozambique,82.8,6.5,5.6,4.9,8,8,7.2,7,8.5,6.4,9.2,4.6,6.8,-0.25632,-0.61327,-0.81559,-0.22697,-0.60352,2.9,Warning,,,,
Philippines,82.8,8.7,8,7.9,5.6,6.5,6.2,7.6,6.4,6.7,7.1,6.5,5.5,0.00635,0.11849,-0.40339,-1.08425,-0.38096,1.7,Warning,,,,
Madagascar,82.7,7,7.5,4.9,8.2,7.9,5.5,7.2,8.6,5.9,8.1,4.3,7.7,-0.76336,-1.13111,-0.91283,-0.65999,-0.75396,2.7,Warning,,,,
Bhutan,81.8,5.6,7.5,7.3,6.3,7.5,6.8,6,6.9,7.3,6.4,6.9,7.3,-0.15878,0.40045,0.29032,0.78462,0.9016,1.6,Warning,,,,
Gambia,81.8,5.5,6.8,3.7,7.8,6.8,7.1,7.6,7.5,8,7.7,6.4,6.9,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Senegal,81.4,6.2,6.6,6.3,7.2,6.8,6.8,5.9,7.8,6.2,8.3,7,6.3,0.06006,-0.41852,-0.23885,-0.06072,-0.18686,3,Warning,,,,
Tanzania,81.1,5.5,5.7,6,6.8,6.4,6.4,6.2,8.8,6.2,8.6,6.8,7.7,-0.20379,-0.70977,-0.47296,-0.16212,-0.77415,3.1,Warning,,,,
China,80.9,6.5,7.2,8.3,3.6,8,5,8.1,6.8,9.4,8.1,6.1,3.8,-1.63141,0.00365,-0.52459,-0.54379,-0.35835,0.5,Warning,,,,
Bolivia,80.8,6.7,8,7.1,6.2,8.9,6.4,7.2,6.8,6.3,6.9,4,6.3,-0.06899,-0.38659,-1.04643,-0.32859,-0.58992,1.6,Warning,,,,
Fiji,80.8,7,7.9,7.3,7.3,7.4,7,8.8,4.9,7.3,5.2,3.8,6.9,-0.90959,-0.84345,-0.82295,-0.05103,-0.1211,0.7,Warning,,,,
Israel and West Bank,80.8,7.1,8.1,9.8,3.7,7.5,3.2,6.7,5.9,7.6,6.2,7.4,7.7,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Guatemala,80.7,7,6,7.3,6.1,8.1,7.1,6.9,6.9,6.6,7.3,6,5.4,-0.36654,-0.70314,-1.08348,-0.67416,-0.62266,2.1,Warning,,,,
Lesotho,79.4,5.2,7,4.7,8.5,6.7,6.8,6,8.2,5.4,8.8,4.9,7.2,0.12027,-0.4172,-0.20198,0.33807,0.2756,1.3,Warning,,,,
Nicaragua,79.2,5.6,6.8,5.9,6.8,7.9,7.8,7.5,6.8,5.4,6.6,4.8,7.3,-0.45765,-0.81668,-0.67472,-0.24922,-0.73594,1.2,Warning,,,,
Algeria,78.7,7.4,7.3,7.8,5.8,6.2,5.1,7.4,5.9,7.7,5.8,7,5.2,-0.89335,-0.53419,-0.68937,-1.20237,-0.47348,2,Warning,,,,
Ecuador,78.6,6.7,8.2,7.2,5.6,7.4,6.8,7.2,6.9,4.9,5.8,5.7,6.2,-0.25272,-0.50163,-0.96827,-0.17866,-0.57095,1.6,Warning,,,,
Honduras,78.3,6.8,6.3,5.8,6.9,8.1,6.6,6.9,6.8,6.3,7,3.9,6.9,-0.47494,-0.72865,-1.16466,-0.43861,-0.94549,1.8,Warning,,,,
Azerbaijan,78.2,6.9,7.8,6.9,4.7,6.1,4.7,8.2,5.1,7.6,5.3,7.9,6.9,-1.40277,-0.47504,-0.72386,-0.41286,-0.96678,1.3,Warning,,,,
Indonesia,78.2,6.8,7,7.3,5.5,6.9,6.3,6.4,6.1,6.5,7.5,6,5.9,0.03612,-0.19875,-0.53077,-0.51926,-0.61382,1.3,Warning,,,,
Benin,77.9,5.8,6.1,3.6,7.1,7.2,6.2,6,8.6,5.1,8.3,6.5,7.3,0.1555,-0.48944,-0.56867,0.30119,-0.74411,2.8,Warning,,,,
India,77.5,7.8,6.8,8.2,5.4,8.1,5.4,5.2,6.7,5.9,7.5,5.2,5.2,0.43278,-0.17154,-0.05732,-1.22917,-0.51744,1.2,Warning,,,,
Russia,77.1,8.5,8,8.2,3.5,7,5.1,8.1,5.1,8.6,5.7,5.3,4,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Belarus,76.7,6.3,8.3,6.8,6.2,5.7,3.9,9,5.2,8.3,5.7,3.6,7.6,-1.54443,-0.89681,-0.90092,0.00596,-0.47123,0,Warning,,,,
Turkmenistan,76.7,7.1,7.7,6.7,5.4,6.5,4.9,9.3,6.1,8.7,5.9,3.9,4.6,-2.21641,-1.28188,-1.38667,0.2491,-1.40811,1.9,Warning,,,,
Bosnia and Herzegovina,76.5,6.4,8.7,7.7,5.2,6.2,5.6,6.7,4.4,6.4,4.4,6.8,8,-0.11646,-0.4347,-0.15157,-0.40494,-0.23859,-1.2,Warning,,,,
Moldova,76.5,7.2,7.7,6,6.4,5.9,6.9,6.9,5.7,6,5.9,5,6.9,-0.07132,-0.40908,-0.37213,0.00081,-0.75464,0,Warning,,,,
Tunisia,76.5,7.2,7.8,7.8,6,6,5,7.9,5,8.4,4.9,4.2,6.3,-0.08443,-0.07351,-0.18925,-0.90256,-0.06704,1.2,Warning,,,,
Turkey,75.9,7.9,7.3,9,5.3,6.8,3.9,5.9,5.5,5.5,5.7,7.4,5.6,-0.25133,0.38122,0.06696,-1.24993,0.09225,1.6,Warning,,,,
Jordan,75.7,5.8,6.8,7.1,6.5,6.5,4.2,6.5,4.3,7.4,6.7,7.8,6.2,-0.80675,-0.04892,0.39297,-0.60632,0.06791,5.1,Warning,,,,
Maldives,75.4,5.8,8,4.9,6.5,4.4,6.2,8.3,6.7,7.6,5.4,5.3,6.4,-0.45963,-0.32226,-0.74662,0.12504,-0.74778,2.1,Warning,,,,
