Country,Total,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,VA,GE,RL,PS,CC,POP,TR
El Salvador,71.4,6.5,4.3,6.3,5.9,6.6,6.9,4.8,6.7,6.1,6.9,5.1,5.3,0.15237,-0.2355,-0.58506,-0.017,-0.42366,0.5,Warning
Paraguay,71.3,6.5,7.8,5.9,5.1,8.4,5.2,7.1,6.7,6.1,5.9,2.2,4.4,-0.06994,-0.94837,-0.69157,0.0385,-0.947,1.3,Warning
Dominican Republic,71.2,5.2,6.2,5.8,5.3,6.3,7.6,6,6.8,5.5,6.8,3.8,5.9,0.15425,-0.35724,-0.51269,0.23671,-0.81843,1.2,Warning
Gabon,71.2,5,7.1,3.7,4.8,6.9,5.5,7.4,6.8,6.9,7.1,5,5.1,-0.89411,-0.73356,-0.54994,0.02119,-0.71415,2.9,Warning
Namibia,70.8,4.9,3.5,5.9,7.1,8.1,6.5,3.8,7.3,4.3,7,5.5,6.9,0.57172,0.25378,0.19002,0.73311,0.3158,2.3,Warning
Guyana,70.5,5.8,5.1,6.5,6.2,6.2,9.1,5.9,6.1,3.9,5.6,3.6,6.5,0.18406,-0.33541,-0.52747,-0.13965,-0.63531,0.7,Warning
Armenia,69.7,5.3,7,5.4,6,5,6,7,4.1,6.5,3.6,7,6.8,-0.53627,-0.16071,-0.38785,-0.25233,-0.53381,0.4,Warning
Suriname,68.4,5.4,5.8,5.8,6.8,6.6,7.3,5.5,5.8,4.9,5.3,3,6.2,0.41136,-0.34577,-0.19538,0.25669,-0.2391,1,Warning
Kazakhstan,68.3,5.7,7.6,7,6.5,4.7,3.6,8,4.5,7.5,5,3.5,4.7,-1.16373,-0.07321,-0.43933,-0.035,-0.85262,1.5,Warning
Samoa,68.2,5.2,5.1,4.5,6.5,5.4,8.9,6.2,5,4.5,6.2,2.1,8.6,0.73578,0.50867,0.69849,1.18397,0.29101,0.8,Warning
Cuba,67.4,5.7,7,4.5,4.5,5.9,5.7,7,4.7,7.3,5.6,4.5,5,-1.55803,0.02188,-0.70146,0.6441,0.07049,0.2,Warning
South Africa,67,5.3,5.6,5.5,6.3,7.4,4.9,5.3,6.4,4.3,7,5.9,3.1,0.65422,0.26168,0.08876,-0.21299,0.0325,1.6,Warning
Cyprus,66.2,4.4,7.9,7,6.7,6.4,4.5,5.3,3,3.3,4,4.5,9.2,1.03151,1.04884,1.03992,0.55087,1.00743,0.8,Warning
Malaysia,65.9,6.8,6.5,6.2,3.6,5.3,4.5,6.9,4.7,7.2,5.8,4.2,4.2,-0.39146,0.94916,0.50193,0.25896,0.23507,1.6,Stable
Belize,65.3,5.8,4.3,4.1,5.9,6.2,6.5,5.7,5.8,4.1,5.9,4.1,6.9,0.57809,-0.68415,-0.72096,0.0431,-0.22251,2.1,Stable
Jamaica,64.6,6.3,3.7,3.9,7.1,5.9,7.8,5.3,5.8,4.9,5.2,3,5.7,0.60872,0.24876,-0.22732,0.09648,-0.2316,0.3,Stable
Macedonia,64.5,5.4,7,7,5.7,5.6,5.5,5.5,4.4,3.9,3.3,5.3,5.9,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Stable
Bahrain,64.4,6.7,7.1,7.7,3.2,5.1,3.5,8.4,2.3,7.8,4.6,2.6,5.3,-1.313,0.55997,0.42506,-1.07354,0.13885,2.6,Stable
Grenada,63.5,5.6,5.6,3.8,5.9,5.3,8.4,5.9,3.7,3.7,5.2,3.2,7.1,0.806,-0.19617,0.14467,0.79071,0.55601,0.4,Stable
Brunei Darussalam,63,5.6,7.4,5.9,2.8,7.8,4.6,8,2.2,7.7,4.2,2.7,4.1,-0.75411,1.06017,0.40798,1.24266,0.57245,1.4,Stable
Botswana,62.8,3.5,3.3,5.4,6.3,7.7,5.1,3.8,6,4.4,7.5,5.2,4.6,0.43619,0.49742,0.59549,1.04209,0.84964,1.9,Stable
Brazil,62.7,5.9,4.9,5.9,3.9,7.7,4.1,5.1,5.9,5.8,7.6,3.1,2.7,0.45881,-0.184,-0.14707,-0.33146,-0.39648,0.9,Stable
Seychelles,62.1,6.6,5.7,4.5,4.6,6,5.5,5.7,3.2,4.6,5.1,3.1,7.5,0.0801,0.42301,0.20105,0.68878,0.8836,2.2,Stable
Albania,61.9,4.7,6.2,5,5.2,4.2,7.1,6.2,4.5,5.5,4.1,3.1,6.1,0.15713,0.0104,-0.32823,0.34613,-0.47902,-0.3,Stable
Trinidad and Tobago,58.7,5.7,5.6,4.1,4.3,5.5,7.5,5,4.8,4.6,5,3,3.6,0.4805,0.2326,-0.116,0.28611,-0.30072,0.4,Stable
Antigua and Barbuda,57.8,5.2,3.7,3.9,5,5,7.3,5.9,3.9,4.5,4.6,3,5.8,0.59495,0.22759,0.58989,1.00472,0.68963,1.1,Stable
Kuwait,57.5,3.9,7.5,4.7,3,4.7,3.1,7.3,2.5,7.3,5.1,4,4.4,-0.66363,-0.03311,0.00108,-0.21342,-0.22509,4,Stable
Mongolia,57,4,5.5,4.3,4.3,6.4,3.1,4.5,5.7,4.8,5.5,2.4,6.5,0.27023,-0.41869,-0.37979,0.71638,-0.49161,1.8,Stable
Bulgaria,55.4,4.1,5.3,5.2,6.2,4.9,4.6,5,4.2,3.4,4.2,3.5,4.8,0.43254,0.20882,-0.097,0.01732,-0.26464,-0.6,Stable
Panama,54.6,5.1,2.5,5.6,3.4,7.3,4,4,5.5,4.8,5.7,3.5,3.2,0.55847,0.29234,-0.10635,0.38608,-0.37072,1.7,Stable
Montenegro,54.2,4,6.3,7.3,4.6,2.9,3.6,4,3.6,4.2,3.3,4.5,5.9,0.14401,0.15575,0.05178,0.1408,-0.1318,0.1,Stable
Romania,54.2,3.5,5.2,6.8,5.2,4.7,4.5,5.6,4.3,3.9,3.7,2.7,4.1,0.4861,-0.05602,0.15755,0.18911,-0.01764,-0.5,Stable
Greece,52.6,4.5,3.7,5,6.5,4.2,3.8,6.5,3.9,3.4,3.6,1.6,5.9,0.65149,0.2562,0.26715,-0.23025,-0.07661,-0.7,Stable
Oman,52,4.7,6.6,3,4.5,4.2,1.9,6.6,3.8,7.5,5,2,2.2,-1.0614,0.08155,0.37689,0.78334,0.26892,5.9,Stable
Bahamas,51.5,4,4.5,4.1,4.7,5,5,4.3,4.4,3,6.1,2.8,3.7,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Stable
Croatia,51,4,4.4,5.7,5.3,3.8,4.5,3.4,2.9,4.1,3.6,4.9,4.4,0.55546,0.51401,0.20036,0.59073,0.24523,-0.8,Stable
Barbados,49.3,4.3,4.2,4.1,5.7,5.1,5.4,3,2.7,2.9,3.8,2.7,5.4,1.09646,1.02539,1.09523,1.13536,1.49051,0.3,Stable
Hungary,49.1,2.4,5.3,4.7,5.9,4.3,3.3,6.6,3.3,4.5,2.3,2.5,4,0.55993,0.49741,0.39994,0.7463,0.14864,-0.2,Stable
Latvia,48.5,3.5,4.3,7.4,4,4.6,4.4,3.9,3.4,3,3.4,2.9,3.8,0.84647,1.08967,0.7946,0.44375,0.46817,-0.8,Stable
Argentina,47.6,3.6,2.8,5,4.9,5.4,3,4.7,4.3,4.1,3.8,2,4,0.41175,-0.0749,-0.77081,0.01479,-0.54705,1,Stable
Costa Rica,46.8,3.1,3.8,4.7,4.3,5.5,3.5,2.9,4.5,2.1,4.1,3.9,4.3,1.1515,0.37576,0.50475,0.68203,0.74842,1.1,Stable
Qatar,46.3,2.5,5,4.6,2.6,5.2,3.1,6,1.8,6.2,4.3,1.8,3.2,-1.14471,0.95513,0.77053,0.99663,0.89147,4.4,Stable
United Arab Emirates,46.2,3.1,3.6,3.9,2.9,4.2,2.5,6.6,2.7,7.1,4.5,2.2,2.9,-1.11237,1.50987,0.64088,0.75955,1.07192,0.9,Stable
Mauritius,45.2,2.8,3.2,3.8,4.7,4.3,4.2,3.5,3.8,3.4,4.1,2.2,5.2,0.82202,1.04944,0.85437,0.99862,0.30083,0.1,Stable
Estonia,43.7,3.1,5.5,6.5,3.6,3.7,3.5,3.2,3.4,2,3.3,2.9,3.1,1.18678,1.0682,1.33192,0.62092,1.29363,0.1,Stable
Italy,43.2,4.4,4.9,4.9,5.6,3.4,2,4.2,2.3,2.5,3.1,3.7,2.2,1.0347,0.44811,0.27506,0.37592,0.01627,-0.1,Stable
Lithuania,43,3,3,4.3,5,5,4.2,3.2,4,2.4,3.3,2.6,3,0.97384,1.18517,1.00806,0.75979,0.61765,-0.9,Stable
Slovak Republic,42.6,2.3,3.7,5.9,5.1,4,4.2,3.7,2.9,2.7,2.8,2,3.3,0.96537,0.83792,0.50381,0.87455,0.17786,0.1,Stable
Chile,41.5,3.1,1.7,4.1,3.6,5.1,3.2,3,4.5,3.4,5.1,2.1,2.6,1.00442,1.08632,1.3441,0.43344,1.27996,0.8,Stable
Malta,40.9,3.4,2,3.9,4.2,2.9,4,3.9,2.3,3.3,2.8,4.6,3.6,1.20273,0.85063,1.1356,1.06394,0.90037,1,Stable
Spain,40.9,3.3,6.1,5.8,5,4,2.4,3.3,2.7,1.9,2.5,1.7,2.2,1.04476,1.17427,0.9016,0.25149,0.5839,-0.1,Stable
Poland,39.8,2.3,3.8,4.4,4.1,3.5,4.4,3.2,2.8,2.5,3.3,2.8,2.7,1.03966,0.79898,0.80207,0.87485,0.66952,-0.1,Stable
Czech Republic,37.4,2.6,4.3,3.8,4.8,3.2,2.8,4.2,3.1,2.1,1.9,2,2.6,1.04269,1.04673,1.1481,0.97919,0.43373,0.2,Stable
Uruguay,36.4,3.7,2.7,3,3.2,4.2,4.4,1.4,3.4,2.2,3.5,1.9,2.9,1.14332,0.52903,0.71243,1.00424,1.31684,0.4,Sustainable
South Korea,36.3,2.1,3.8,3.4,2,3.5,3.5,3.3,2.4,2.6,2.8,1.5,5.4,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Sustainable
Japan,36,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6,0.98799,1.78481,1.51873,1.06513,1.56916,-0.1,Sustainable
